pattern,scope,stratum,timepoint_merged,day_merged_numeric,n_genes_tested,mean_gene_log2fc,median_gene_log2fc,n_genes_up,n_genes_down,n_genes_near_zero,frac_genes_up,frac_genes_down,pattern_direction_consensus,pattern_class,peak_timepoint,eta_timepoint,eta_broad_cell_type,spearman_ifn_score_rho
Pattern7,cell_type,B_cell,D6,6.0,25,-0.02498109466668739,-0.022022727327977165,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D8,8.0,25,-0.04215807476550322,-0.054642775447371505,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D10,10.0,25,-0.17921885639098076,-0.21111364461701734,2,11,12,0.08,0.44,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D14/15,14.5,25,-0.23388052660060268,-0.3976330164296318,4,14,7,0.16,0.56,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D28,28.0,25,-0.1183799966033731,-0.15007416480553046,0,8,17,0.0,0.32,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern8,cell_type,B_cell,D2,2.0,25,-0.04495460333600256,-0.006796060383468472,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D4,4.0,25,-0.06822708933843598,-0.045194039528572816,1,1,23,0.04,0.04,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D6,6.0,25,-0.05831918036568104,-0.03483784674533356,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D8,8.0,25,-0.03951731901867318,-0.04696971325245632,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D10,10.0,25,-0.01904355808799957,-0.09349501381260931,4,5,16,0.16,0.2,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D14/15,14.5,25,-0.12889297083602239,-0.1712058399075218,5,11,9,0.2,0.44,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D28,28.0,25,-0.050262058146700664,-0.011330264681663612,0,4,21,0.0,0.16,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern9,cell_type,B_cell,D2,2.0,25,0.0015084325304152428,-0.011518778345107469,2,1,22,0.08,0.04,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,B_cell,D4,4.0,25,-0.11838954411851949,-0.07498704419296705,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,B_cell,D6,6.0,25,-0.11226922331010147,-0.03495819573078348,0,4,21,0.0,0.16,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,B_cell,D8,8.0,25,-0.053532809583682735,-0.04696971325245632,2,1,22,0.08,0.04,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,B_cell,D10,10.0,25,0.15218368990257714,0.009776223693284791,7,6,12,0.28,0.24,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,B_cell,D14/15,14.5,25,0.1692851505531477,-0.031078365840248406,11,9,5,0.44,0.36,mixed,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,B_cell,D28,28.0,25,-0.06926454485514141,-0.03177348413860829,1,5,19,0.04,0.2,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern1,cell_type,Monocyte,D2,2.0,25,-0.013832142159716508,0.006402700240571472,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,Monocyte,D4,4.0,25,0.008755668281191748,0.033192736236631624,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,Monocyte,D6,6.0,25,-0.007314736809097841,0.01425671719300207,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,Monocyte,D8,8.0,25,-0.039161496486176416,-0.030464167655773977,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,Monocyte,D10,10.0,25,-0.34129081491692514,-0.41317829726304584,3,16,6,0.12,0.64,mostly_down,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,Monocyte,D14/15,14.5,25,-0.4148286319367407,-0.5908986006499622,2,15,8,0.08,0.6,mostly_down,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,Monocyte,D28,28.0,25,0.18183329427761535,0.17004957607996948,11,0,14,0.44,0.0,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern10,cell_type,Monocyte,D2,2.0,25,-0.015611282042815375,-0.00922700666276081,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,Monocyte,D4,4.0,25,0.05641483985336025,0.0556055216095821,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,Monocyte,D6,6.0,25,0.01812287660625027,0.01951556783164321,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,Monocyte,D8,8.0,25,0.04337345873195747,0.015527263389315019,2,0,23,0.08,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,Monocyte,D10,10.0,25,-0.32997651673351536,-0.48073344063272455,3,15,7,0.12,0.6,mostly_down,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,Monocyte,D14/15,14.5,25,-0.4095166807465157,-0.5994608334246685,3,15,7,0.12,0.6,mostly_down,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,Monocyte,D28,28.0,25,0.23378916249966483,0.1980266925067665,12,0,13,0.48,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern2,cell_type,Monocyte,D2,2.0,25,0.0057625839825844825,0.010091103223372144,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,Monocyte,D4,4.0,25,0.016145308007658083,0.033192736236631624,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,Monocyte,D6,6.0,25,-0.00046956450626550365,0.004865901939041943,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,Monocyte,D8,8.0,25,-0.031971786018760585,-0.045347789889281266,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,Monocyte,D10,10.0,25,-0.09558774173854631,-0.12304385201749568,8,11,6,0.32,0.44,mixed,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,Monocyte,D14/15,14.5,25,-0.22710234391624717,-0.03329208637263351,5,11,9,0.2,0.44,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,Monocyte,D28,28.0,25,0.23089719764053054,0.18673129339402075,11,0,14,0.44,0.0,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern3,cell_type,Monocyte,D2,2.0,25,0.035445830152487035,0.03058912396558829,2,0,23,0.08,0.0,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,Monocyte,D4,4.0,25,-0.1556634549849128,-0.07542644028929679,0,7,18,0.0,0.28,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,Monocyte,D6,6.0,25,-0.1070094640278822,-0.024788451425077202,0,5,20,0.0,0.2,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,Monocyte,D8,8.0,25,0.3523135680864528,0.29337618576463304,13,0,12,0.52,0.0,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,Monocyte,D10,10.0,25,2.0064349980057457,2.0673034494484455,23,0,2,0.92,0.0,mostly_up,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,Monocyte,D14/15,14.5,25,1.9450037494098367,1.9439135311720808,23,0,2,0.92,0.0,mostly_up,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,Monocyte,D28,28.0,25,0.5753588799222286,0.5465257580656745,23,1,1,0.92,0.04,mostly_up,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern4,cell_type,Monocyte,D2,2.0,25,0.07205473578420772,0.03902759832578203,2,0,23,0.08,0.0,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,Monocyte,D4,4.0,25,-0.02947254308123258,-0.013886133492350202,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,Monocyte,D6,6.0,25,-0.030327113127331416,-0.0023854945671433945,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,Monocyte,D8,8.0,25,0.012015446175466831,-0.006341668642724822,2,0,23,0.08,0.0,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,Monocyte,D10,10.0,25,-0.060124115343623885,-0.17533098078840256,5,9,11,0.2,0.36,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,Monocyte,D14/15,14.5,25,0.1608885329626636,0.1005267937844702,10,3,12,0.4,0.12,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,Monocyte,D28,28.0,25,0.13711914227919042,0.2875781940102969,14,5,6,0.56,0.2,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern5,cell_type,Monocyte,D2,2.0,25,-0.0012589082864099762,0.004271548189607029,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,Monocyte,D4,4.0,25,0.06661147341783741,0.07731181022756435,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,Monocyte,D6,6.0,25,-0.003102367940970984,-0.002484659403052092,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,Monocyte,D8,8.0,25,0.027283903413122652,0.04152477364075432,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,Monocyte,D10,10.0,25,-0.11108751464236102,-0.05155758725247169,3,8,14,0.12,0.32,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,Monocyte,D14/15,14.5,25,0.021089451439982084,0.14445419295342,7,6,12,0.28,0.24,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,Monocyte,D28,28.0,25,0.323885022578447,0.3647495719044418,19,1,5,0.76,0.04,mostly_up,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern6,cell_type,Monocyte,D2,2.0,25,0.017191281300940383,0.017221587575728375,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,Monocyte,D4,4.0,25,0.04239521894847495,0.04831827277584111,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,Monocyte,D6,6.0,25,-0.009757140697499563,0.01945627889439372,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,Monocyte,D8,8.0,25,0.033425889738751796,0.015527263389315019,2,0,23,0.08,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,Monocyte,D10,10.0,25,-0.19843345857418385,-0.3039398664906046,6,13,6,0.24,0.52,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,Monocyte,D14/15,14.5,25,-0.18880448865164184,-0.40790720796948676,9,14,2,0.36,0.56,mixed,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,Monocyte,D28,28.0,25,0.23485340787383774,0.1980266925067665,12,0,13,0.48,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern7,cell_type,Monocyte,D2,2.0,25,-0.013206006197275274,0.006711378516249293,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,Monocyte,D4,4.0,25,0.02155382951026761,0.046968169210883794,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,Monocyte,D6,6.0,25,-0.002131113363293846,0.01945627889439372,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,Monocyte,D8,8.0,25,-0.008658681015622746,-0.006341668642724822,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,Monocyte,D10,10.0,25,-0.31768800338769404,-0.5399202585600692,4,16,5,0.16,0.64,mostly_down,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,Monocyte,D14/15,14.5,25,-0.3973348394811087,-0.6416565522348036,4,16,5,0.16,0.64,mostly_down,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,Monocyte,D28,28.0,25,0.1618778785583367,0.14188663556819195,9,1,15,0.36,0.04,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern8,cell_type,Monocyte,D2,2.0,25,0.01308762032420257,0.017221587575728375,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,Monocyte,D4,4.0,25,0.029777327590597244,0.046799008831234445,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,Monocyte,D6,6.0,25,0.004145175201017679,0.013876746148831979,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,Monocyte,D8,8.0,25,-0.00030332095184287355,-0.014571262716638481,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,Monocyte,D10,10.0,25,-0.037565308782943035,0.07863585662800314,8,9,8,0.32,0.36,mixed,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,Monocyte,D14/15,14.5,25,-0.18295908958641516,-0.12359315291020678,6,11,8,0.24,0.44,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,Monocyte,D28,28.0,25,0.28088979019354643,0.2875781940102969,13,0,12,0.52,0.0,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern9,cell_type,Monocyte,D2,2.0,25,0.06337426713011779,0.023158165999092855,3,0,22,0.12,0.0,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,Monocyte,D4,4.0,25,0.006115122653305035,0.046799008831234445,1,1,23,0.04,0.04,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,Monocyte,D6,6.0,25,0.08310273743322162,0.026904803602275134,4,0,21,0.16,0.0,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,Monocyte,D8,8.0,25,0.080334795685342,0.00600725477662678,4,0,21,0.16,0.0,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,Monocyte,D10,10.0,25,0.10079173709272966,-0.026501130500077963,7,9,9,0.28,0.36,mostly_near_zero,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,Monocyte,D14/15,14.5,25,0.26079711811545414,0.15214994491249514,11,9,5,0.44,0.36,mixed,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern9,cell_type,Monocyte,D28,28.0,25,0.27553771920651504,0.28768781903199486,15,1,9,0.6,0.04,mostly_up,identity-like,D14/15,0.0092421576728893,0.779860868323658,0.203614527233417
Pattern1,cell_type,NK_cell,D2,2.0,25,-0.010707848451451967,0.00499475434559334,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,NK_cell,D4,4.0,25,-0.06779681808793474,-0.054421907188683484,0,3,22,0.0,0.12,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,NK_cell,D6,6.0,25,-0.02484113112106872,-0.016326489629537495,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,NK_cell,D8,8.0,25,-0.02007845745447644,-0.018652836302152902,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,NK_cell,D10,10.0,25,-0.22502748544827658,-0.16439584616420314,2,11,12,0.08,0.44,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,NK_cell,D14/15,14.5,25,-0.3568833827119763,-0.2523477208338341,3,13,9,0.12,0.52,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,cell_type,NK_cell,D28,28.0,25,-0.1391204328037561,-0.04451125570707859,2,8,15,0.08,0.32,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern10,cell_type,NK_cell,D2,2.0,25,0.020347378877591013,0.020956693551502426,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,NK_cell,D4,4.0,25,-0.04596043730625246,-0.04599214427046642,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,NK_cell,D6,6.0,25,-0.03173262456266469,-0.011467968878711451,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,NK_cell,D8,8.0,25,-0.010563169448249475,-0.007156967551349425,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,NK_cell,D10,10.0,25,-0.1858495878633963,-0.1901521165757476,5,12,8,0.2,0.48,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,NK_cell,D14/15,14.5,25,-0.35817740408638316,-0.4520266840804297,4,14,7,0.16,0.56,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,cell_type,NK_cell,D28,28.0,25,-0.06169039643586967,-0.03465006770161594,3,8,14,0.12,0.32,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern2,cell_type,NK_cell,D2,2.0,25,-0.019878054278386657,0.020956693551502426,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,NK_cell,D4,4.0,25,-0.05499776764318638,-0.04599214427046642,1,3,21,0.04,0.12,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,NK_cell,D6,6.0,25,0.002485502465434936,-0.0029248449225072193,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,NK_cell,D8,8.0,25,-0.015256761285524086,-0.007156967551349425,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,NK_cell,D10,10.0,25,-0.08129265407511525,-0.1268305439622092,9,9,7,0.36,0.36,mixed,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,NK_cell,D14/15,14.5,25,-0.2618540944004151,-0.15399104706614666,6,12,7,0.24,0.48,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,cell_type,NK_cell,D28,28.0,25,-0.10333418498318055,-0.08137459104190192,2,9,14,0.08,0.36,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern3,cell_type,NK_cell,D2,2.0,25,-0.06916255542450749,-0.0237193088633146,2,8,15,0.08,0.32,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,NK_cell,D4,4.0,25,-0.2708039561209011,-0.0894031391458429,0,10,15,0.0,0.4,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,NK_cell,D6,6.0,25,-0.14288306951418372,-0.040559312734551156,1,6,18,0.04,0.24,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,NK_cell,D8,8.0,25,0.014594320606212085,0.051354161466188465,3,2,20,0.12,0.08,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,NK_cell,D10,10.0,25,1.7888735751129874,1.5340517443709665,25,0,0,1.0,0.0,mostly_up,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,NK_cell,D14/15,14.5,25,1.577875437477564,1.4637422068555626,21,0,4,0.84,0.0,mostly_up,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,NK_cell,D28,28.0,25,0.19066016244303413,0.19204091876975374,8,4,13,0.32,0.16,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern4,cell_type,NK_cell,D2,2.0,25,0.07127651957990974,0.03936400329174224,2,0,23,0.08,0.0,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,NK_cell,D4,4.0,25,0.034664903117260296,-0.005738653518945351,3,2,20,0.12,0.08,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,NK_cell,D6,6.0,25,0.02983527120838165,0.02240549707921898,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,NK_cell,D8,8.0,25,-0.017769126023558856,0.027429758943002962,1,3,21,0.04,0.12,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,NK_cell,D10,10.0,25,-0.07050540566946183,-0.13712182131546116,6,8,11,0.24,0.32,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,NK_cell,D14/15,14.5,25,0.04419223851374006,0.1947738896496182,10,8,7,0.4,0.32,mixed,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
