subject,broad_cell_type,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject2,Plasmablast,D14/15,14.5,3,Pattern9,0.014240621176819901
Subject2,Plasmablast,D14/15,14.5,3,Pattern10,0.3278734982013703
Subject2,Plasmablast,D2,2.0,1,Pattern1,0.211147546768188
Subject2,Plasmablast,D2,2.0,1,Pattern2,0.10719171911478
Subject2,Plasmablast,D2,2.0,1,Pattern3,8.32608129712753e-05
Subject2,Plasmablast,D2,2.0,1,Pattern4,3.66074914381898e-06
Subject2,Plasmablast,D2,2.0,1,Pattern5,0.155817598104477
Subject2,Plasmablast,D2,2.0,1,Pattern6,0.0
Subject2,Plasmablast,D2,2.0,1,Pattern7,8.61850930959918e-05
Subject2,Plasmablast,D2,2.0,1,Pattern8,0.0
Subject2,Plasmablast,D2,2.0,1,Pattern9,0.0270092394202948
Subject2,Plasmablast,D2,2.0,1,Pattern10,0.384175777435303
Subject2,Plasmablast,D4,4.0,2,Pattern1,0.13286652829265244
Subject2,Plasmablast,D4,4.0,2,Pattern2,0.09775454923510546
Subject2,Plasmablast,D4,4.0,2,Pattern3,2.018067535303205e-08
Subject2,Plasmablast,D4,4.0,2,Pattern4,0.11867355927824996
Subject2,Plasmablast,D4,4.0,2,Pattern5,0.3883141949772835
Subject2,Plasmablast,D4,4.0,2,Pattern6,2.7344717068444854e-06
Subject2,Plasmablast,D4,4.0,2,Pattern7,0.00016218255950657903
Subject2,Plasmablast,D4,4.0,2,Pattern8,0.0302624301984906
Subject2,Plasmablast,D4,4.0,2,Pattern9,0.0058910498337354
Subject2,Plasmablast,D4,4.0,2,Pattern10,0.42137071490287803
Subject2,Plasmablast,D6,6.0,3,Pattern1,0.19424430529276535
Subject2,Plasmablast,D6,6.0,3,Pattern2,0.05376019577185304
Subject2,Plasmablast,D6,6.0,3,Pattern3,0.018226424812060774
Subject2,Plasmablast,D6,6.0,3,Pattern4,0.08491917635883804
Subject2,Plasmablast,D6,6.0,3,Pattern5,0.6044834852218627
Subject2,Plasmablast,D6,6.0,3,Pattern6,0.029620537560006707
Subject2,Plasmablast,D6,6.0,3,Pattern7,0.009736597650468524
Subject2,Plasmablast,D6,6.0,3,Pattern8,0.018250747786320676
Subject2,Plasmablast,D6,6.0,3,Pattern9,0.1545109717020143
Subject2,Plasmablast,D6,6.0,3,Pattern10,0.3161853204170863
Subject2,Plasmablast,D8,8.0,2,Pattern1,0.12862741202116
Subject2,Plasmablast,D8,8.0,2,Pattern2,0.001844362466727023
Subject2,Plasmablast,D8,8.0,2,Pattern3,0.018205951455456677
Subject2,Plasmablast,D8,8.0,2,Pattern4,6.102882693426201e-06
Subject2,Plasmablast,D8,8.0,2,Pattern5,0.5454181432724
Subject2,Plasmablast,D8,8.0,2,Pattern6,0.043946504078917314
Subject2,Plasmablast,D8,8.0,2,Pattern7,0.00010935198952206845
Subject2,Plasmablast,D8,8.0,2,Pattern8,0.0761305252090097
Subject2,Plasmablast,D8,8.0,2,Pattern9,0.02864988939836625
Subject2,Plasmablast,D8,8.0,2,Pattern10,0.365010716021061
Subject2,T_cell,D0,0.0,141,Pattern1,0.24271477762393806
Subject2,T_cell,D0,0.0,141,Pattern2,0.005680359889793901
Subject2,T_cell,D0,0.0,141,Pattern3,0.039836256316082015
Subject2,T_cell,D0,0.0,141,Pattern4,0.1728973216299452
Subject2,T_cell,D0,0.0,141,Pattern5,0.11174670119750443
Subject2,T_cell,D0,0.0,141,Pattern6,0.030659688447421774
Subject2,T_cell,D0,0.0,141,Pattern7,0.5591618118556678
Subject2,T_cell,D0,0.0,141,Pattern8,0.002171307320254795
Subject2,T_cell,D0,0.0,141,Pattern9,0.04480417805974932
Subject2,T_cell,D0,0.0,141,Pattern10,0.011934637544120516
Subject2,T_cell,D10,10.0,137,Pattern1,0.21393699879888448
Subject2,T_cell,D10,10.0,137,Pattern2,0.0033072095251493383
Subject2,T_cell,D10,10.0,137,Pattern3,0.14822589605706982
Subject2,T_cell,D10,10.0,137,Pattern4,0.12414191386218558
Subject2,T_cell,D10,10.0,137,Pattern5,0.058290360142676585
Subject2,T_cell,D10,10.0,137,Pattern6,0.06191472567467947
Subject2,T_cell,D10,10.0,137,Pattern7,0.45786177458657
Subject2,T_cell,D10,10.0,137,Pattern8,0.0007560315303165731
Subject2,T_cell,D10,10.0,137,Pattern9,0.05611561100833697
Subject2,T_cell,D10,10.0,137,Pattern10,0.013349963572826237
Subject2,T_cell,D14/15,14.5,152,Pattern1,0.1571442713407138
Subject2,T_cell,D14/15,14.5,152,Pattern2,0.002437415036735449
Subject2,T_cell,D14/15,14.5,152,Pattern3,0.09717559323282587
Subject2,T_cell,D14/15,14.5,152,Pattern4,0.13911110771433088
Subject2,T_cell,D14/15,14.5,152,Pattern5,0.16533184007207966
Subject2,T_cell,D14/15,14.5,152,Pattern6,0.062489140230388124
Subject2,T_cell,D14/15,14.5,152,Pattern7,0.6349674796840287
Subject2,T_cell,D14/15,14.5,152,Pattern8,0.0023594171541546144
Subject2,T_cell,D14/15,14.5,152,Pattern9,0.050365620314391416
Subject2,T_cell,D14/15,14.5,152,Pattern10,0.009727567675040535
Subject2,T_cell,D2,2.0,157,Pattern1,0.23890554464167793
Subject2,T_cell,D2,2.0,157,Pattern2,0.008111840536188363
Subject2,T_cell,D2,2.0,157,Pattern3,0.024872676294105688
Subject2,T_cell,D2,2.0,157,Pattern4,0.20912807637772174
Subject2,T_cell,D2,2.0,157,Pattern5,0.12040858761797697
Subject2,T_cell,D2,2.0,157,Pattern6,0.04152346034609352
Subject2,T_cell,D2,2.0,157,Pattern7,0.5719959672959744
Subject2,T_cell,D2,2.0,157,Pattern8,0.0007580947337321581
Subject2,T_cell,D2,2.0,157,Pattern9,0.040527209421001
Subject2,T_cell,D2,2.0,157,Pattern10,0.012477044798578984
Subject2,T_cell,D28,28.0,145,Pattern1,0.23308747179447195
Subject2,T_cell,D28,28.0,145,Pattern2,0.0015274433120206028
Subject2,T_cell,D28,28.0,145,Pattern3,0.03419576587032467
Subject2,T_cell,D28,28.0,145,Pattern4,0.12866104940909714
Subject2,T_cell,D28,28.0,145,Pattern5,0.06699363782972247
Subject2,T_cell,D28,28.0,145,Pattern6,0.06521007828260374
Subject2,T_cell,D28,28.0,145,Pattern7,0.5326748082735415
Subject2,T_cell,D28,28.0,145,Pattern8,0.002022479006505801
Subject2,T_cell,D28,28.0,145,Pattern9,0.031841286733730614
Subject2,T_cell,D28,28.0,145,Pattern10,0.006469045879601963
Subject2,T_cell,D4,4.0,149,Pattern1,0.16104006774011062
Subject2,T_cell,D4,4.0,149,Pattern2,0.006176898565231762
Subject2,T_cell,D4,4.0,149,Pattern3,0.013453185296964055
Subject2,T_cell,D4,4.0,149,Pattern4,0.2052698918405379
Subject2,T_cell,D4,4.0,149,Pattern5,0.04912585773424945
Subject2,T_cell,D4,4.0,149,Pattern6,0.060099102635106275
Subject2,T_cell,D4,4.0,149,Pattern7,0.5210601086846692
Subject2,T_cell,D4,4.0,149,Pattern8,0.001710724985932501
Subject2,T_cell,D4,4.0,149,Pattern9,0.026095702904807186
Subject2,T_cell,D4,4.0,149,Pattern10,0.010782126588697176
Subject2,T_cell,D6,6.0,141,Pattern1,0.2215276566728609
Subject2,T_cell,D6,6.0,141,Pattern2,0.007098483708803147
Subject2,T_cell,D6,6.0,141,Pattern3,0.021043825909929443
Subject2,T_cell,D6,6.0,141,Pattern4,0.17823668088101785
Subject2,T_cell,D6,6.0,141,Pattern5,0.07381056852565948
Subject2,T_cell,D6,6.0,141,Pattern6,0.028682918647722606
Subject2,T_cell,D6,6.0,141,Pattern7,0.5521952788323481
Subject2,T_cell,D6,6.0,141,Pattern8,0.0014988245523600517
Subject2,T_cell,D6,6.0,141,Pattern9,0.04948892944012261
Subject2,T_cell,D6,6.0,141,Pattern10,0.014636370885247881
Subject2,T_cell,D8,8.0,148,Pattern1,0.2316516169616098
Subject2,T_cell,D8,8.0,148,Pattern2,0.0055312943211214965
Subject2,T_cell,D8,8.0,148,Pattern3,0.020916382017998163
Subject2,T_cell,D8,8.0,148,Pattern4,0.1249497633406597
Subject2,T_cell,D8,8.0,148,Pattern5,0.0619295133447929
Subject2,T_cell,D8,8.0,148,Pattern6,0.04006078632774931
Subject2,T_cell,D8,8.0,148,Pattern7,0.5418116471956711
Subject2,T_cell,D8,8.0,148,Pattern8,0.0015550620872506816
Subject2,T_cell,D8,8.0,148,Pattern9,0.04710019084769298
Subject2,T_cell,D8,8.0,148,Pattern10,0.01721937901274583
Subject3,B_cell,D0,0.0,21,Pattern1,0.013390925586150753
Subject3,B_cell,D0,0.0,21,Pattern2,2.9835771444130046e-06
Subject3,B_cell,D0,0.0,21,Pattern3,0.009033139508645637
Subject3,B_cell,D0,0.0,21,Pattern4,0.011803754576571153
Subject3,B_cell,D0,0.0,21,Pattern5,0.16217988714154113
Subject3,B_cell,D0,0.0,21,Pattern6,0.3309261997540792
Subject3,B_cell,D0,0.0,21,Pattern7,0.008633313764107678
Subject3,B_cell,D0,0.0,21,Pattern8,0.032796845159498905
Subject3,B_cell,D0,0.0,21,Pattern9,0.008564802159942988
Subject3,B_cell,D0,0.0,21,Pattern10,0.6184721773579007
Subject3,B_cell,D10,10.0,6,Pattern1,3.783416246960767e-08
Subject3,B_cell,D10,10.0,6,Pattern2,3.1828339312293433e-07
Subject3,B_cell,D10,10.0,6,Pattern3,0.17979654793938007
Subject3,B_cell,D10,10.0,6,Pattern4,0.0037188710243280265
Subject3,B_cell,D10,10.0,6,Pattern5,0.016463834194989126
Subject3,B_cell,D10,10.0,6,Pattern6,0.24311632166306185
Subject3,B_cell,D10,10.0,6,Pattern7,8.61105011532951e-06
Subject3,B_cell,D10,10.0,6,Pattern8,0.01228805972035236
Subject3,B_cell,D10,10.0,6,Pattern9,0.0024409311743246085
Subject3,B_cell,D10,10.0,6,Pattern10,0.6214965780576068
Subject3,B_cell,D14/15,14.5,6,Pattern1,8.5831952674198e-06
Subject3,B_cell,D14/15,14.5,6,Pattern2,1.3516078998539639e-05
Subject3,B_cell,D14/15,14.5,6,Pattern3,0.14881613478064543
Subject3,B_cell,D14/15,14.5,6,Pattern4,0.008613912191651231
Subject3,B_cell,D14/15,14.5,6,Pattern5,0.16935387874643018
Subject3,B_cell,D14/15,14.5,6,Pattern6,0.3097977687915165
Subject3,B_cell,D14/15,14.5,6,Pattern7,0.01049975457522123
Subject3,B_cell,D14/15,14.5,6,Pattern8,0.010110692174445497
Subject3,B_cell,D14/15,14.5,6,Pattern9,0.009750439509465029
Subject3,B_cell,D14/15,14.5,6,Pattern10,0.5907370746135711
Subject3,B_cell,D2,2.0,8,Pattern1,6.971140408040803e-06
Subject3,B_cell,D2,2.0,8,Pattern2,8.91410849135355e-07
Subject3,B_cell,D2,2.0,8,Pattern3,0.010522511566023239
Subject3,B_cell,D2,2.0,8,Pattern4,0.02382766553926529
Subject3,B_cell,D2,2.0,8,Pattern5,0.10479486652184272
Subject3,B_cell,D2,2.0,8,Pattern6,0.26236711069941526
Subject3,B_cell,D2,2.0,8,Pattern7,5.9683465650533734e-05
Subject3,B_cell,D2,2.0,8,Pattern8,0.025743267995949275
Subject3,B_cell,D2,2.0,8,Pattern9,0.06699853029618913
Subject3,B_cell,D2,2.0,8,Pattern10,0.600602298974991
Subject3,B_cell,D28,28.0,16,Pattern1,0.0005101443925923352
Subject3,B_cell,D28,28.0,16,Pattern2,5.15409017864954e-06
Subject3,B_cell,D28,28.0,16,Pattern3,0.012329729553112389
Subject3,B_cell,D28,28.0,16,Pattern4,0.015031571241339208
Subject3,B_cell,D28,28.0,16,Pattern5,0.15657598266987813
Subject3,B_cell,D28,28.0,16,Pattern6,0.306151170283556
Subject3,B_cell,D28,28.0,16,Pattern7,0.004282112424615288
Subject3,B_cell,D28,28.0,16,Pattern8,0.024137286043185217
Subject3,B_cell,D28,28.0,16,Pattern9,0.11694484781210682
Subject3,B_cell,D28,28.0,16,Pattern10,0.5447814259678126
Subject3,B_cell,D4,4.0,16,Pattern1,2.114609647207491e-05
Subject3,B_cell,D4,4.0,16,Pattern2,4.603659792223838e-05
Subject3,B_cell,D4,4.0,16,Pattern3,0.012333918503753082
Subject3,B_cell,D4,4.0,16,Pattern4,0.01175487596293214
Subject3,B_cell,D4,4.0,16,Pattern5,0.19648719438005455
Subject3,B_cell,D4,4.0,16,Pattern6,0.33364078029990196
Subject3,B_cell,D4,4.0,16,Pattern7,0.0026873817998307433
Subject3,B_cell,D4,4.0,16,Pattern8,0.029908342700764465
Subject3,B_cell,D4,4.0,16,Pattern9,0.15289511384381888
Subject3,B_cell,D4,4.0,16,Pattern10,0.5710139386355877
Subject3,B_cell,D6,6.0,16,Pattern1,0.010149170419220248
Subject3,B_cell,D6,6.0,16,Pattern2,0.002091432331667422
Subject3,B_cell,D6,6.0,16,Pattern3,0.013865278137075138
Subject3,B_cell,D6,6.0,16,Pattern4,0.007984614521713382
Subject3,B_cell,D6,6.0,16,Pattern5,0.24030392982649576
Subject3,B_cell,D6,6.0,16,Pattern6,0.3168536089360714
Subject3,B_cell,D6,6.0,16,Pattern7,0.019129810552302996
Subject3,B_cell,D6,6.0,16,Pattern8,0.033382661896666846
Subject3,B_cell,D6,6.0,16,Pattern9,0.05556326245017026
Subject3,B_cell,D6,6.0,16,Pattern10,0.5629569962620735
Subject3,B_cell,D8,8.0,15,Pattern1,0.00015170765768743015
Subject3,B_cell,D8,8.0,15,Pattern2,2.435375677123377e-07
Subject3,B_cell,D8,8.0,15,Pattern3,0.027053872883444314
Subject3,B_cell,D8,8.0,15,Pattern4,0.003163069677001395
Subject3,B_cell,D8,8.0,15,Pattern5,0.16434983758548086
Subject3,B_cell,D8,8.0,15,Pattern6,0.3105296254158019
Subject3,B_cell,D8,8.0,15,Pattern7,0.010282070139442104
Subject3,B_cell,D8,8.0,15,Pattern8,0.03142150329683015
Subject3,B_cell,D8,8.0,15,Pattern9,0.07457891894547022
Subject3,B_cell,D8,8.0,15,Pattern10,0.5662912487983702
Subject3,Monocyte,D0,0.0,40,Pattern1,0.01682490638353894
Subject3,Monocyte,D0,0.0,40,Pattern2,0.03965394871460431
Subject3,Monocyte,D0,0.0,40,Pattern3,0.05530548913332591
Subject3,Monocyte,D0,0.0,40,Pattern4,0.06865958310418818
Subject3,Monocyte,D0,0.0,40,Pattern5,0.23201147641360934
Subject3,Monocyte,D0,0.0,40,Pattern6,0.07361720998321036
Subject3,Monocyte,D0,0.0,40,Pattern7,0.019199498452888968
Subject3,Monocyte,D0,0.0,40,Pattern8,0.7331326514482498
Subject3,Monocyte,D0,0.0,40,Pattern9,0.022795590085512157
Subject3,Monocyte,D0,0.0,40,Pattern10,0.06824349591275902
Subject3,Monocyte,D10,10.0,48,Pattern1,0.01615926052969503
Subject3,Monocyte,D10,10.0,48,Pattern2,0.01915642351946662
Subject3,Monocyte,D10,10.0,48,Pattern3,0.5921300991127888
Subject3,Monocyte,D10,10.0,48,Pattern4,0.02949378316794539
Subject3,Monocyte,D10,10.0,48,Pattern5,0.22558039184436993
Subject3,Monocyte,D10,10.0,48,Pattern6,0.032896442976699504
Subject3,Monocyte,D10,10.0,48,Pattern7,0.008651429308064467
Subject3,Monocyte,D10,10.0,48,Pattern8,0.7023279623438915
Subject3,Monocyte,D10,10.0,48,Pattern9,0.04366246304310121
Subject3,Monocyte,D10,10.0,48,Pattern10,0.05266410684328093
Subject3,Monocyte,D14/15,14.5,53,Pattern1,0.01919278790209112
Subject3,Monocyte,D14/15,14.5,53,Pattern2,0.03571771738045256
Subject3,Monocyte,D14/15,14.5,53,Pattern3,0.5363999425240282
Subject3,Monocyte,D14/15,14.5,53,Pattern4,0.039127578188586906
Subject3,Monocyte,D14/15,14.5,53,Pattern5,0.19387454976107332
Subject3,Monocyte,D14/15,14.5,53,Pattern6,0.03615489604568265
Subject3,Monocyte,D14/15,14.5,53,Pattern7,0.014064016897760975
Subject3,Monocyte,D14/15,14.5,53,Pattern8,0.7039812938222345
Subject3,Monocyte,D14/15,14.5,53,Pattern9,0.02649534513581425
Subject3,Monocyte,D14/15,14.5,53,Pattern10,0.0316501679596957
Subject3,Monocyte,D2,2.0,33,Pattern1,0.03482914682738491
Subject3,Monocyte,D2,2.0,33,Pattern2,0.057772439384500524
Subject3,Monocyte,D2,2.0,33,Pattern3,0.04667546493942177
Subject3,Monocyte,D2,2.0,33,Pattern4,0.08221958348864644
Subject3,Monocyte,D2,2.0,33,Pattern5,0.21685939502327237
Subject3,Monocyte,D2,2.0,33,Pattern6,0.07357868050705677
Subject3,Monocyte,D2,2.0,33,Pattern7,0.007036185898121424
Subject3,Monocyte,D2,2.0,33,Pattern8,0.7147715570348683
Subject3,Monocyte,D2,2.0,33,Pattern9,0.017867923770163902
Subject3,Monocyte,D2,2.0,33,Pattern10,0.0686303649770632
Subject3,Monocyte,D28,28.0,34,Pattern1,0.02941750668349595
Subject3,Monocyte,D28,28.0,34,Pattern2,0.01822482465259574
Subject3,Monocyte,D28,28.0,34,Pattern3,0.05219193959791508
Subject3,Monocyte,D28,28.0,34,Pattern4,0.05751535308328018
Subject3,Monocyte,D28,28.0,34,Pattern5,0.20630320491940024
Subject3,Monocyte,D28,28.0,34,Pattern6,0.1284241578379057
Subject3,Monocyte,D28,28.0,34,Pattern7,0.01567808747809935
Subject3,Monocyte,D28,28.0,34,Pattern8,0.6903417298898977
Subject3,Monocyte,D28,28.0,34,Pattern9,0.059207827214480584
Subject3,Monocyte,D28,28.0,34,Pattern10,0.06750250691079464
Subject3,Monocyte,D4,4.0,34,Pattern1,0.01892804312625508
Subject3,Monocyte,D4,4.0,34,Pattern2,0.04194693102979672
Subject3,Monocyte,D4,4.0,34,Pattern3,0.08193644677333747
Subject3,Monocyte,D4,4.0,34,Pattern4,0.07533261987255706
Subject3,Monocyte,D4,4.0,34,Pattern5,0.2826083516852524
Subject3,Monocyte,D4,4.0,34,Pattern6,0.05991781001937532
Subject3,Monocyte,D4,4.0,34,Pattern7,0.011426480756257967
Subject3,Monocyte,D4,4.0,34,Pattern8,0.723016717854668
Subject3,Monocyte,D4,4.0,34,Pattern9,0.05203558974657636
Subject3,Monocyte,D4,4.0,34,Pattern10,0.08117330565958893
Subject3,Monocyte,D6,6.0,31,Pattern1,0.01868761715229676
Subject3,Monocyte,D6,6.0,31,Pattern2,0.028098280321050006
Subject3,Monocyte,D6,6.0,31,Pattern3,0.06615775381813895
Subject3,Monocyte,D6,6.0,31,Pattern4,0.0464904323014244
Subject3,Monocyte,D6,6.0,31,Pattern5,0.24191898514829385
Subject3,Monocyte,D6,6.0,31,Pattern6,0.08382301626636854
Subject3,Monocyte,D6,6.0,31,Pattern7,0.038119597439190564
Subject3,Monocyte,D6,6.0,31,Pattern8,0.7312997002755443
Subject3,Monocyte,D6,6.0,31,Pattern9,0.04875546933512042
Subject3,Monocyte,D6,6.0,31,Pattern10,0.060129788384132986
Subject3,Monocyte,D8,8.0,42,Pattern1,0.017096134655109337
Subject3,Monocyte,D8,8.0,42,Pattern2,0.03911403657827707
Subject3,Monocyte,D8,8.0,42,Pattern3,0.1451913212470649
Subject3,Monocyte,D8,8.0,42,Pattern4,0.08226714637970142
Subject3,Monocyte,D8,8.0,42,Pattern5,0.24029700142133673
Subject3,Monocyte,D8,8.0,42,Pattern6,0.031185876608314306
Subject3,Monocyte,D8,8.0,42,Pattern7,0.008399272703722233
Subject3,Monocyte,D8,8.0,42,Pattern8,0.760633477142879
Subject3,Monocyte,D8,8.0,42,Pattern9,0.011765394934857079
Subject3,Monocyte,D8,8.0,42,Pattern10,0.05546097535779199
Subject3,NK_cell,D0,0.0,57,Pattern1,0.06758202938716579
Subject3,NK_cell,D0,0.0,57,Pattern2,0.0023581232631080993
Subject3,NK_cell,D0,0.0,57,Pattern3,0.010638301678144741
Subject3,NK_cell,D0,0.0,57,Pattern4,0.034263593024468054
Subject3,NK_cell,D0,0.0,57,Pattern5,0.08050912533954249
Subject3,NK_cell,D0,0.0,57,Pattern6,0.49300612430823476
Subject3,NK_cell,D0,0.0,57,Pattern7,0.03281036437799824
Subject3,NK_cell,D0,0.0,57,Pattern8,0.00422546645274067
Subject3,NK_cell,D0,0.0,57,Pattern9,0.5366371050477028
Subject3,NK_cell,D0,0.0,57,Pattern10,0.02834894045251425
Subject3,NK_cell,D10,10.0,89,Pattern1,0.04719326664370909
Subject3,NK_cell,D10,10.0,89,Pattern2,0.0004544111251487711
Subject3,NK_cell,D10,10.0,89,Pattern3,0.2374950469879622
Subject3,NK_cell,D10,10.0,89,Pattern4,0.024639065131719984
Subject3,NK_cell,D10,10.0,89,Pattern5,0.07390040712429033
Subject3,NK_cell,D10,10.0,89,Pattern6,0.42013406853997304
Subject3,NK_cell,D10,10.0,89,Pattern7,0.01908538578634261
Subject3,NK_cell,D10,10.0,89,Pattern8,0.0037436092545256876
Subject3,NK_cell,D10,10.0,89,Pattern9,0.6644107459971075
Subject3,NK_cell,D10,10.0,89,Pattern10,0.016167751189017417
Subject3,NK_cell,D14/15,14.5,80,Pattern1,0.038435513005187945
Subject3,NK_cell,D14/15,14.5,80,Pattern2,0.0007027874559492191
Subject3,NK_cell,D14/15,14.5,80,Pattern3,0.17222008096578065
Subject3,NK_cell,D14/15,14.5,80,Pattern4,0.038894014981445464
Subject3,NK_cell,D14/15,14.5,80,Pattern5,0.07909969375162049
Subject3,NK_cell,D14/15,14.5,80,Pattern6,0.4437388890422881
Subject3,NK_cell,D14/15,14.5,80,Pattern7,0.0123335167018915
Subject3,NK_cell,D14/15,14.5,80,Pattern8,0.0024153978116100102
Subject3,NK_cell,D14/15,14.5,80,Pattern9,0.6813474860973656
Subject3,NK_cell,D14/15,14.5,80,Pattern10,0.013162179008202901
Subject3,NK_cell,D2,2.0,77,Pattern1,0.050532365675151354
Subject3,NK_cell,D2,2.0,77,Pattern2,0.0017984474563724126
Subject3,NK_cell,D2,2.0,77,Pattern3,0.00702901131082803
Subject3,NK_cell,D2,2.0,77,Pattern4,0.07151594196663873
Subject3,NK_cell,D2,2.0,77,Pattern5,0.03784504963419903
Subject3,NK_cell,D2,2.0,77,Pattern6,0.4524558604537667
Subject3,NK_cell,D2,2.0,77,Pattern7,0.014705999501892561
Subject3,NK_cell,D2,2.0,77,Pattern8,0.0034323168952023453
Subject3,NK_cell,D2,2.0,77,Pattern9,0.5826649476181377
Subject3,NK_cell,D2,2.0,77,Pattern10,0.022694008184080523
Subject3,NK_cell,D28,28.0,85,Pattern1,0.04687700598344688
Subject3,NK_cell,D28,28.0,85,Pattern2,0.0022414260200110518
Subject3,NK_cell,D28,28.0,85,Pattern3,0.01934403211896906
Subject3,NK_cell,D28,28.0,85,Pattern4,0.0242193598932581
Subject3,NK_cell,D28,28.0,85,Pattern5,0.06006832870724599
Subject3,NK_cell,D28,28.0,85,Pattern6,0.47256578022942825
Subject3,NK_cell,D28,28.0,85,Pattern7,0.026661731233915496
Subject3,NK_cell,D28,28.0,85,Pattern8,0.003269795882425457
Subject3,NK_cell,D28,28.0,85,Pattern9,0.552272246164434
Subject3,NK_cell,D28,28.0,85,Pattern10,0.023022343842491546
Subject3,NK_cell,D4,4.0,79,Pattern1,0.04615192561628381
Subject3,NK_cell,D4,4.0,79,Pattern2,0.002984705190968556
Subject3,NK_cell,D4,4.0,79,Pattern3,0.013140955842156394
Subject3,NK_cell,D4,4.0,79,Pattern4,0.04988072278158083
Subject3,NK_cell,D4,4.0,79,Pattern5,0.07268164645150016
Subject3,NK_cell,D4,4.0,79,Pattern6,0.4730967241751996
Subject3,NK_cell,D4,4.0,79,Pattern7,0.02146725995873302
Subject3,NK_cell,D4,4.0,79,Pattern8,0.006190101213697558
Subject3,NK_cell,D4,4.0,79,Pattern9,0.624836541617973
