"broad_cell_type","timepoint_merged","day_merged_numeric","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Pattern7","Pattern8","Pattern9","Pattern10"
"B_cell","D0",0,0.0601333871134977,0.0142103027391791,0.0135012594259889,0.120495505790087,0.131006367768406,0.103013573406107,0.0233482824079584,0.0112369966017373,0.00986077145345542,0.711703487455028
"B_cell","D2",2,0.0644711508622472,0.0167121635952478,0.0157809663946117,0.115933679113163,0.129634797354859,0.0669342046603082,0.0439660028373929,0.00778777951734355,0.0212167822837883,0.695556448478448
"B_cell","D4",4,0.0490915987518198,0.0139310198857905,0.00651792410123368,0.100325332056697,0.125887402686296,0.0972277052612356,0.036158253066494,0.00836012256689314,0.0396625024963099,0.669808899599408
"B_cell","D6",6,0.0614400426946693,0.018260859028722,0.00921225130763523,0.129648448058582,0.15267149122946,0.094914290362164,0.0322646937227858,0.0119168655457531,0.0225252716217692,0.671198141135153
"B_cell","D8",8,0.065827619653587,0.0108334086476707,0.0150248780539359,0.14618394790049,0.117926931629759,0.0909842666781657,0.0590577539077846,0.00899906427306879,0.0212809346850991,0.631848714252313
"B_cell","D10",10,0.0417126026217166,0.00809723682370937,0.126421508176819,0.154028756199428,0.065034647976137,0.0402406590029836,0.0479926938934206,0.00374733234491672,0.00140252451219404,0.658247884848843
"B_cell","D14/15",14.5,0.0269884496031646,0.00505610993170945,0.112536899673337,0.199904865097251,0.122659875036808,0.089257677058314,0.0565928764623421,0.00352477790569285,0.00346047786253076,0.667227193065312
"B_cell","D28",28,0.0479755828397878,0.00933011599955386,0.0138061620641166,0.179078148599388,0.0971740522060713,0.0970104523269372,0.0356020198663747,0.009711739351044,0.0351853536938966,0.646737676113844
"Monocyte","D0",0,0.0961822971554857,0.382195666981564,0.0406896564472973,0.0648946362643936,0.203187054258583,0.0336118028571403,0.0158553316839588,0.387793719359285,0.0113499330736876,0.0626129714074414
"Monocyte","D2",2,0.12477936891345,0.325751681948278,0.0543650854033006,0.0704986126515055,0.191465209063054,0.0342599272947652,0.0246808338118312,0.418067698991192,0.0135676993428429,0.0615501723155555
"Monocyte","D4",4,0.0857888065362838,0.296327338916077,0.0540662213621418,0.0728362914117752,0.230345248713348,0.03585165862204,0.0182499475103736,0.439099761444751,0.0293759488946011,0.0794691809018602
"Monocyte","D6",6,0.0888796056383565,0.318931332289631,0.0480014522732639,0.0628795982483364,0.210012481973484,0.0462743983110947,0.0267410039632621,0.430388207967603,0.0301967693850349,0.066514744032518
"Monocyte","D8",8,0.0495972070278454,0.278515848935895,0.0939076468007295,0.0919256351664987,0.189089702574829,0.0286962157497506,0.0333095203465897,0.450335941762288,0.0113333212193435,0.0631969844597778
"Monocyte","D10",10,0.0818785035287854,0.292380637780766,0.420992246741413,0.0512742664703819,0.153786113789448,0.0198667898557174,0.0108215579563888,0.399786348207894,0.0258738126520496,0.0520124377560187
"Monocyte","D14/15",14.5,0.0260242613222307,0.244138312458122,0.445499575687844,0.12662482253478,0.167572057956072,0.0208662666987152,0.0160801941967799,0.475405898415348,0.0160883253855263,0.0333646612128981
"Monocyte","D28",28,0.137539756384868,0.261928507270437,0.0744645160471042,0.0583251785084627,0.196691157608729,0.0539407481143606,0.020757304545318,0.441111180437617,0.0262127205152223,0.0842113189507009
"NK_cell","D0",0,0.116751950273507,0.00774779251186495,0.018687652121693,0.161104176168505,0.0770672185744759,0.319371967464801,0.0384551223765761,0.0044563324110682,0.512741949832575,0.025352165965617
"NK_cell","D2",2,0.112407488322389,0.00750488721900293,0.0131263627492153,0.173826188479423,0.0432260316940749,0.300898692037829,0.0235290303126211,0.00405629916434306,0.543855158328,0.0230527193021902
"NK_cell","D4",4,0.0816128563910064,0.00487255355932127,0.0135484327723016,0.134572835970893,0.0595539464983467,0.36568081642193,0.0236161938722722,0.00667371503303392,0.575546068329256,0.0194183482052566
"NK_cell","D6",6,0.0838223837696794,0.00513907074569615,0.0204850640376325,0.14842433866036,0.0870203294731745,0.342771576559027,0.0345821799708799,0.00687089873638549,0.534719831022349,0.0194266887857907
"NK_cell","D8",8,0.0598905515718662,0.00396632408100112,0.0250865521637191,0.0890433461202151,0.0994336123530534,0.433084266315914,0.0319409882976787,0.00782057775131274,0.60389610188348,0.0176960715837971
"NK_cell","D10",10,0.0670242398880736,0.00174430220511611,0.240385769033118,0.1113550066582,0.0830979810938695,0.329205868017281,0.0264844099460126,0.00345892570831303,0.623429284806837,0.0158893595709194
"NK_cell","D14/15",14.5,0.0626673498784298,0.00463973937821955,0.203270115871823,0.244038047728884,0.174195246712051,0.252396015398164,0.0147005095527766,0.00298116444848577,0.628382716172685,0.0124170943429471
"NK_cell","D28",28,0.0591303903708147,0.00348591185002212,0.0267113931731784,0.106207253189087,0.0575805866416308,0.383829040111945,0.0289475873115822,0.00410741348183442,0.531866561762005,0.0210723127139852
"Neutrophil","D0",0,0.0141000510557205,0.000834178009123813,1.87380543745045e-05,0.000825552192206184,0.0323266200721264,0.000200310876001216,0.035355423266689,0.00990252235593895,0.000270855583949015,0.00431564634588237
"Neutrophil","D2",2,0.000615015816583764,0.00627606769794511,0.00227304402311574,0.00941359846910927,0.0477157454937696,0.0114905390408239,0.0281074268277735,0.0136990737402812,0.00773021891327517,0.00198868952993507
"Neutrophil","D4",4,0.0102298362527563,0.00139321440615277,5.9094855798919e-05,0.00901209682197077,0.0476254910230637,0.00476829372719294,0.0448147536255419,0.0175236783077708,0.00607517590913176,0.000289720721593767
"Neutrophil","D6",6,0.00219411684959899,0.00629461250794823,8.0101257736942e-05,0.0148247965801905,0.050549254170619,0.00192775840567568,0.0476239799366643,0.0101049375219494,0.0050032609246955,0.0079538128375134
"Neutrophil","D8",8,0.00521617128083562,0.00041505133276587,0.00198647731554047,0.0166183143487615,0.0456943437238806,0.00381053349411786,0.0496420890658555,0.0232123174937442,0.0128863687698413,0.00498396259354195
"Neutrophil","D10",10,0.011570922308735,0.0126947188866779,0.00880147509485278,0.0125249262267437,0.0276505805527449,0.00344945485426251,0.0423261412151987,0.0170666959634218,0.00746526024067862,0.00761195213192423
"Neutrophil","D14/15",14.5,0.000599824037635699,0.000273728728643619,0.0341204330325127,0.00055557786981808,0.0108060904312879,0.000518982385983691,0.0411129780113697,0.0104770827456377,0.0173107228038134,0.000252280031418195
"Neutrophil","D28",28,0.00277822696108904,0.00323321915857377,0.00410970868057864,0.0139004277675254,0.0378350108000053,0.00675810806652325,0.0365090193967758,0.0115603370686586,0.00683244218800444,0.0060914243863408
"Plasmablast","D0",0,0.165877431631088,0.0805013701319695,0.00831172917992262,0.155992807820439,0.838850855827332,0.0301950723569462,0.0177419009269215,0.033636729211139,0.0781285176053643,0.312971219420433
"Plasmablast","D2",2,0.109436842426658,0.0340919079407968,0.00822296071219739,0.0250256534746313,0.663683718442917,0.0572542518377304,6.50587822065063e-05,0.134778140485287,0.0577317889779806,0.388210248947144
"Plasmablast","D4",4,0.135311749036191,0.081849092617631,6.64555390754717e-05,0.0795545877390396,0.554300922900438,0.0244110208547852,8.12714196598563e-05,0.0609844408463687,0.0144000510190381,0.426143899559975
"Plasmablast","D6",6,0.118721749200934,0.0367408316248354,0.0109733211291158,0.0971998237226922,0.62516329685847,0.0708843677743379,0.00488001773574827,0.0596702591907767,0.144541364876204,0.365569981435935
"Plasmablast","D8",8,0.140251012519002,0.0263898289385907,0.0275998774559412,0.0610066898727766,0.581496819853783,0.0333846031912231,0.0123142913217009,0.0668461307650432,0.0191475585681218,0.269994366914034
"Plasmablast","D10",10,0.118108067661524,0.0736372628840248,0.142455813785394,0.0817157684289972,0.643694058060646,0.0363306639095147,0.00186896021042079,0.0269562157197167,0.0227713644950806,0.363835136095683
"Plasmablast","D14/15",14.5,0.0511819882303826,0.0135015809648394,0.101774781197309,0.108673656599422,0.838967978954315,0.0551150776419945,0.00480509340059143,0.0918694540858269,0.0138089241663693,0.363508188724518
"Plasmablast","D28",28,0.0363401398062706,0,0.00237109907902777,6.05550170007518e-08,0.744561016559601,0.164485320448875,7.98025848780526e-06,0.118380308151245,0.05259894952178,0.43023756146431
"T_cell","D0",0,0.229273601856016,0.00456192681906478,0.0264329993511427,0.141728682921912,0.0968212364245196,0.183589587988766,0.468989351967189,0.00280132811126268,0.0443422984638235,0.0119496655070492
"T_cell","D2",2,0.239011312996861,0.00512229992637983,0.0201153187506461,0.173034261219325,0.102417183215115,0.189105130407462,0.455897908197867,0.00223427348971571,0.042138289424432,0.0136177771343617
"T_cell","D4",4,0.189580199692841,0.00432637008448213,0.0153590045259332,0.157938649490522,0.068028927220584,0.175640031772317,0.463356651703031,0.00274534930459247,0.0332815029475239,0.014237261750022
"T_cell","D6",6,0.265879315471931,0.00503441912629648,0.0189640151431171,0.185378698763026,0.0887405340824328,0.15504671586975,0.417849242823162,0.00218860054132239,0.0534239418208957,0.0152460163012412
"T_cell","D8",8,0.262759702450782,0.00462176446175772,0.0224871035724708,0.166103593726958,0.0826365797392768,0.149639992772635,0.433031963020623,0.0031286643653846,0.0483966367683453,0.0153685536135174
"T_cell","D10",10,0.200673844045785,0.0019453718293049,0.144195337709152,0.143493305746529,0.0576846762845893,0.159198971592483,0.430248075506701,0.001058238760117,0.0541541357557015,0.0119317651147824
"T_cell","D14/15",14.5,0.15965681295799,0.00147259814816795,0.116294427776805,0.147584456265922,0.133390608128516,0.166113605734374,0.523206777013996,0.00186693712439419,0.0618576980244171,0.00901487096269935
"T_cell","D28",28,0.243187027188879,0.00300315679884689,0.0219724827030672,0.177779604718604,0.0527420132695057,0.166232979703936,0.390162118067586,0.00312370011604722,0.0481649801739473,0.00954931601959863
